owner_no,First Order Date,First Contribution Date,postal_code,state_desc,geo_area_desc,OP Prelim Capacity,LTV Tkt Value
2417507,2020-01-08 00:00:00,,19131,Pennsylvania,1-Philadelphia City (20 mi.),2,60.00
2417655,2020-01-17 00:00:00,2020-01-17 00:00:00,19143,Pennsylvania,1-Philadelphia City (20 mi.),3,60.00
2417509,2020-01-09 00:00:00,,19146,Pennsylvania,1-Philadelphia City (20 mi.),,60.00
2417545,2020-01-11 00:00:00,,19146,Pennsylvania,1-Philadelphia City (20 mi.),,60.00
2412041,2020-01-21 00:00:00,,19147,Pennsylvania,1-Philadelphia City (20 mi.),,60.00
2418102,2020-02-02 00:00:00,,19151,Pennsylvania,1-Philadelphia City (20 mi.),,60.00
2418232,2020-02-12 00:00:00,,19312,New York,1-Philadelphia City (20 mi.),,60.00
2417540,2020-01-10 00:00:00,,19363,Pennsylvania,2-Greater Philadelphia(70 mi.),,60.00
2417703,2020-01-20 00:00:00,,19380,Pennsylvania,2-Greater Philadelphia(70 mi.),,60.00
2418068,2020-01-31 00:00:00,,19382,Pennsylvania,2-Greater Philadelphia(70 mi.),,60.00
2417556,2020-01-12 00:00:00,,19610,Pennsylvania,2-Greater Philadelphia(70 mi.),,60.00
2417773,2020-01-23 00:00:00,,19810,Delaware,2-Greater Philadelphia(70 mi.),,60.00
2418427,2020-02-25 00:00:00,,20002,New York,4-DC (20 mi.),,60.00
2417671,2020-01-18 00:00:00,,98042,Washington,7-USA Balance,,60.00
2417749,2020-01-22 00:00:00,,18966,Pennsylvania,1-Philadelphia City (20 mi.),,59.00
2418397,2020-02-24 00:00:00,,19128,Pennsylvania,1-Philadelphia City (20 mi.),,59.00
2418682,2020-03-08 00:00:00,,19131,Pennsylvania,1-Philadelphia City (20 mi.),,59.00
2418521,2020-02-28 00:00:00,,02906,Rhode Island,7-USA Balance,,58.00
2418202,2020-02-09 00:00:00,,19010,Pennsylvania,1-Philadelphia City (20 mi.),,58.00
2418670,2020-03-07 00:00:00,,19107,Pennsylvania,1-Philadelphia City (20 mi.),,58.00
2417825,2020-01-26 00:00:00,,60201,Illinois,7-USA Balance,,58.00
2417846,2020-01-27 00:00:00,2020-06-26 00:00:00,19041,Pennsylvania,1-Philadelphia City (20 mi.),1,56.00
2418490,2020-02-28 00:00:00,2020-03-25 00:00:00,02740,,8-Foreign,,55.00
2418522,2020-02-28 00:00:00,2020-04-09 00:00:00,19027,Pennsylvania,1-Philadelphia City (20 mi.),,55.00
2417410,2020-01-02 00:00:00,2020-03-26 00:00:00,19121,Pennsylvania,1-Philadelphia City (20 mi.),,55.00
2417485,2020-01-07 00:00:00,2020-05-14 00:00:00,19140,Pennsylvania,1-Philadelphia City (20 mi.),1,54.00
2417407,2020-01-01 00:00:00,2020-01-01 00:00:00,08003,New Jersey,1-Philadelphia City (20 mi.),1,50.00
2418093,2020-02-01 00:00:00,,08080,New Jersey,1-Philadelphia City (20 mi.),,50.00
2418579,2020-03-03 00:00:00,,19107,Pennsylvania,1-Philadelphia City (20 mi.),,50.00
2418661,2020-03-06 00:00:00,,19153,Pennsylvania,1-Philadelphia City (20 mi.),,50.00
2418008,2020-01-31 00:00:00,,66206,Kansas,7-USA Balance,,50.00
2056241,2020-08-17 00:00:00,2013-02-11 00:00:00,02779,Massachusetts,7-USA Balance,6,49.00
2417922,2020-01-28 00:00:00,,06824,Connecticut,5-NEC (140 mi. from Philly),,49.00
2417481,2020-01-07 00:00:00,,08043,New Jersey,1-Philadelphia City (20 mi.),,49.00
2417560,2020-01-12 00:00:00,,08096,New Jersey,1-Philadelphia City (20 mi.),,49.00
2417909,2020-01-28 00:00:00,,08096,New Jersey,1-Philadelphia City (20 mi.),,49.00
2417827,2020-01-26 00:00:00,,11561,New York,5-NEC (140 mi. from Philly),,49.00
2418070,2020-01-31 00:00:00,,15101,Pennsylvania,7-USA Balance,,49.00
2417552,2020-01-12 00:00:00,,19130,Pennsylvania,1-Philadelphia City (20 mi.),,49.00
2417946,2020-01-29 00:00:00,,19348,Pennsylvania,2-Greater Philadelphia(70 mi.),,49.00
2417871,2020-01-27 00:00:00,,33785,Florida,7-USA Balance,,49.00
2418796,2020-03-24 00:00:00,2020-03-25 00:00:00,40502,Kentucky,7-USA Balance,,49.00
2419039,2020-05-19 00:00:00,2020-05-19 00:00:00,44106,Ohio,7-USA Balance,4,49.00
2417419,2020-01-02 00:00:00,,83457,,8-Foreign,,49.00
2418051,2020-01-31 00:00:00,2020-05-21 00:00:00,77025,Texas,7-USA Balance,1,45.00
2417907,2020-01-28 00:00:00,,13210,New York,7-USA Balance,,40.00
2417758,2020-01-22 00:00:00,2020-04-09 00:00:00,19009,Pennsylvania,1-Philadelphia City (20 mi.),,40.00
2417806,2020-01-25 00:00:00,2020-03-30 00:00:00,19104,Pennsylvania,1-Philadelphia City (20 mi.),,40.00
2417989,2020-01-30 00:00:00,,19107,Pennsylvania,1-Philadelphia City (20 mi.),,40.00
2417764,2020-01-22 00:00:00,,19128,Pennsylvania,1-Philadelphia City (20 mi.),,40.00
2417938,2020-01-29 00:00:00,2020-04-23 00:00:00,19123,Pennsylvania,1-Philadelphia City (20 mi.),4,39.00
2417618,2020-01-15 00:00:00,,19130,Pennsylvania,1-Philadelphia City (20 mi.),,39.00
2417685,2020-01-18 00:00:00,,27516,North Carolina,7-USA Balance,,39.00
2417925,2020-01-28 00:00:00,,17550,Pennsylvania,5-NEC (140 mi. from Philly),,30.00
2418082,2020-02-01 00:00:00,,18360,Pennsylvania,2-Greater Philadelphia(70 mi.),,30.00
2417734,2020-01-21 00:00:00,,18940,Pennsylvania,2-Greater Philadelphia(70 mi.),,30.00
2417808,2020-01-25 00:00:00,,18954,Pennsylvania,2-Greater Philadelphia(70 mi.),,30.00
2417521,2020-01-09 00:00:00,,19027,Pennsylvania,1-Philadelphia City (20 mi.),,30.00
2417522,2020-01-09 00:00:00,,19027,Pennsylvania,1-Philadelphia City (20 mi.),,30.00
2417843,2020-01-27 00:00:00,,19046,Pennsylvania,1-Philadelphia City (20 mi.),,30.00
2408946,2020-01-03 00:00:00,,19050,Pennsylvania,1-Philadelphia City (20 mi.),,30.00
2417741,2020-01-22 00:00:00,,19103,Pennsylvania,1-Philadelphia City (20 mi.),,30.00
2417796,2020-01-24 00:00:00,,19103,Pennsylvania,1-Philadelphia City (20 mi.),,30.00
2417866,2020-01-27 00:00:00,,19103,Pennsylvania,1-Philadelphia City (20 mi.),,30.00
2417921,2020-01-28 00:00:00,,19103,Pennsylvania,1-Philadelphia City (20 mi.),,30.00
2417788,2020-01-23 00:00:00,,19107,Pennsylvania,1-Philadelphia City (20 mi.),,30.00
1956225,2020-01-20 00:00:00,,19119,Pennsylvania,1-Philadelphia City (20 mi.),,30.00
2418072,2020-01-31 00:00:00,,19128,Pennsylvania,1-Philadelphia City (20 mi.),,30.00
2417565,2020-01-12 00:00:00,,19134,Pennsylvania,1-Philadelphia City (20 mi.),,30.00
2418095,2020-02-01 00:00:00,,19141,Pennsylvania,1-Philadelphia City (20 mi.),,30.00
2418056,2020-01-31 00:00:00,,19144,Pennsylvania,1-Philadelphia City (20 mi.),,30.00
2417933,2020-01-28 00:00:00,,1947,Pennsylvania,7-USA Balance,,30.00
2418141,2020-02-05 00:00:00,,08108,New Jersey,1-Philadelphia City (20 mi.),,29.00
2417425,2020-01-22 00:00:00,,08053,New Jersey,1-Philadelphia City (20 mi.),,28.00
2417689,2020-01-19 00:00:00,2020-01-19 00:00:00,1070052,,8-Foreign,U,25.00
2417991,2020-01-30 00:00:00,2020-04-24 00:00:00,19001,Pennsylvania,1-Philadelphia City (20 mi.),1,25.00
2417601,2020-01-14 00:00:00,,19107,Pennsylvania,1-Philadelphia City (20 mi.),,25.00
2417881,2020-01-28 00:00:00,,19130,Pennsylvania,1-Philadelphia City (20 mi.),,25.00
2417608,2020-01-15 00:00:00,,19147,Pennsylvania,1-Philadelphia City (20 mi.),,25.00
2415642,2020-01-30 00:00:00,,11590,New York,5-NEC (140 mi. from Philly),,20.00
2418036,2020-01-31 00:00:00,,19103,Pennsylvania,1-Philadelphia City (20 mi.),,18.00
2419161,2020-06-27 00:00:00,2020-06-29 00:00:00,01915,Massachusetts,7-USA Balance,4,0.00
2419190,2020-07-13 00:00:00,2020-07-14 00:00:00,02364,Massachusetts,7-USA Balance,1,0.00
2419086,2020-05-30 00:00:00,2020-05-30 00:00:00,02446,Massachusetts,7-USA Balance,5,0.00
2419095,2020-06-01 00:00:00,,06339,Connecticut,6-NEC (210 mi. from Philly),,0.00
2419089,2020-05-30 00:00:00,2020-05-31 00:00:00,06902,Connecticut,5-NEC (140 mi. from Philly),5,0.00
2310080,2020-05-11 00:00:00,2020-05-11 00:00:00,07042,New Jersey,3-New York City (20 mi.),1,0.00
2419070,2020-05-24 00:00:00,2020-05-26 00:00:00,07042,New Jersey,3-New York City (20 mi.),1,0.00
2416154,2020-03-26 00:00:00,,08003,New Jersey,1-Philadelphia City (20 mi.),,0.00
2417740,2020-01-22 00:00:00,2020-01-22 00:00:00,08043,New Jersey,1-Philadelphia City (20 mi.),,0.00
2418262,2020-02-14 00:00:00,2020-02-18 00:00:00,08051,New Jersey,1-Philadelphia City (20 mi.),,0.00
2418318,2020-02-19 00:00:00,,08055,New Jersey,1-Philadelphia City (20 mi.),,0.00
2418143,2020-02-05 00:00:00,,08057,New Jersey,1-Philadelphia City (20 mi.),,0.00
2419148,2020-06-20 00:00:00,,08057,New Jersey,1-Philadelphia City (20 mi.),,0.00
2419085,2020-05-29 00:00:00,2020-05-29 00:00:00,08108,New Jersey,1-Philadelphia City (20 mi.),1,0.00
2418932,2020-05-04 00:00:00,2020-05-05 00:00:00,08540,New Jersey,2-Greater Philadelphia(70 mi.),1,0.00
2383635,2020-01-31 00:00:00,,10001,New York,3-New York City (20 mi.),,0.00
2418917,2020-05-01 00:00:00,2020-05-01 00:00:00,10003,New York,3-New York City (20 mi.),5,0.00
2374498,2020-06-04 00:00:00,2020-06-05 00:00:00,10003,New York,3-New York City (20 mi.),6,0.00
2419010,2020-05-14 00:00:00,2020-05-14 00:00:00,10005,New York,3-New York City (20 mi.),6,0.00
2418965,2020-05-07 00:00:00,2020-05-08 00:00:00,10011,New York,3-New York City (20 mi.),,0.00
2418495,2020-02-28 00:00:00,,10024,New York,3-New York City (20 mi.),,0.00
2419309,2020-08-28 00:00:00,2020-08-31 00:00:00,10024,New York,3-New York City (20 mi.),,0.00
2419181,2020-07-09 00:00:00,2020-07-10 00:00:00,10027,New York,3-New York City (20 mi.),4,0.00
2417753,2020-01-22 00:00:00,,11413,New York,3-New York City (20 mi.),,0.00
2417912,2020-01-28 00:00:00,,13210,New York,7-USA Balance,,0.00
2047273,2020-05-15 00:00:00,2020-05-18 00:00:00,170221380,Pennsylvania,5-NEC (140 mi. from Philly),3,0.00
2418974,2020-05-10 00:00:00,2020-05-10 00:00:00,18901,Pennsylvania,2-Greater Philadelphia(70 mi.),1,0.00
2419023,2020-05-15 00:00:00,2020-05-18 00:00:00,18940,Pennsylvania,2-Greater Philadelphia(70 mi.),1,0.00
2417916,2020-01-28 00:00:00,,190031810,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2417802,2020-01-24 00:00:00,,19004,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
23553,2020-08-21 00:00:00,,190041332,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2419294,2020-08-20 00:00:00,,19038,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
479911,2020-05-06 00:00:00,2020-05-06 00:00:00,190388319,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2417902,2020-01-28 00:00:00,,19041,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2418824,2020-03-30 00:00:00,,19083,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2418969,2020-05-08 00:00:00,2020-05-11 00:00:00,19087,Pennsylvania,1-Philadelphia City (20 mi.),1,0.00
2371543,2020-03-04 00:00:00,,19087,Pennsylvania,1-Philadelphia City (20 mi.),3,0.00
2401600,2020-02-21 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2404458,2020-01-28 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2408894,2020-01-24 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2409617,2020-01-29 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2417756,2020-01-22 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2417774,2020-01-23 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2417783,2020-01-23 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2417799,2020-01-24 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2417897,2020-01-28 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2417899,2020-01-28 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2417903,2020-01-28 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2417905,2020-01-28 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2417913,2020-01-28 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2418745,2020-03-13 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2419005,2020-05-13 00:00:00,2020-05-14 00:00:00,19103,Pennsylvania,1-Philadelphia City (20 mi.),1,0.00
728263,2020-08-28 00:00:00,2013-04-30 00:00:00,19103,Pennsylvania,1-Philadelphia City (20 mi.),2,0.00
2418903,2020-04-29 00:00:00,2020-04-30 00:00:00,19103,Pennsylvania,1-Philadelphia City (20 mi.),4,0.00
2419166,2020-06-29 00:00:00,2020-06-30 00:00:00,19106,Pennsylvania,1-Philadelphia City (20 mi.),1,0.00
2417797,2020-01-24 00:00:00,,19107,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2380579,2020-01-29 00:00:00,,19118,Pennsylvania,1-Philadelphia City (20 mi.),5,0.00
2418938,2020-05-05 00:00:00,2020-05-05 00:00:00,191183506,Pennsylvania,1-Philadelphia City (20 mi.),3,0.00
2419004,2020-05-13 00:00:00,2020-05-14 00:00:00,19119,Pennsylvania,1-Philadelphia City (20 mi.),1,0.00
2417415,2020-01-02 00:00:00,,19122,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2417755,2020-01-30 00:00:00,,19122,Pennsylvania,1-Philadelphia City (20 mi.),2,0.00
2417974,2020-01-30 00:00:00,,19123,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2418859,2020-04-15 00:00:00,2020-04-15 00:00:00,19123,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2396877,2020-01-31 00:00:00,,19124,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2417906,2020-01-28 00:00:00,,19131,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2418071,2020-01-31 00:00:00,,19139,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
45045,2020-03-13 00:00:00,,191431863,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2417904,2020-01-28 00:00:00,,19146,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2419173,2020-07-06 00:00:00,2020-07-07 00:00:00,19146,Pennsylvania,1-Philadelphia City (20 mi.),2,0.00
2417771,2020-01-23 00:00:00,,19147,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2418697,2020-03-10 00:00:00,,19147,Pennsylvania,1-Philadelphia City (20 mi.),,0.00
2419078,2020-05-27 00:00:00,2020-05-27 00:00:00,19301,Pennsylvania,1-Philadelphia City (20 mi.),1,0.00
2419080,2020-05-27 00:00:00,2020-05-27 00:00:00,19806,Delaware,2-Greater Philadelphia(70 mi.),2,0.00
2413443,2020-04-26 00:00:00,2020-04-27 00:00:00,19810,Delaware,2-Greater Philadelphia(70 mi.),4,0.00
2417914,2020-01-28 00:00:00,,19810,Delaware,2-Greater Philadelphia(70 mi.),U,0.00
2418921,2020-05-01 00:00:00,2020-05-05 00:00:00,20001,D.C.,4-DC (20 mi.),1,0.00
2417789,2020-01-23 00:00:00,,20011,D.C.,4-DC (20 mi.),,0.00
2418816,2020-03-27 00:00:00,2020-03-27 00:00:00,207232017,Maryland,4-DC (20 mi.),4,0.00
2419025,2020-05-15 00:00:00,2020-05-15 00:00:00,20817,Maryland,4-DC (20 mi.),6,0.00
2419149,2020-06-20 00:00:00,2020-06-22 00:00:00,20904,Maryland,4-DC (20 mi.),1,0.00
2419164,2020-06-28 00:00:00,2020-06-29 00:00:00,21211,Maryland,5-NEC (140 mi. from Philly),,0.00
2419182,2020-07-10 00:00:00,2020-07-10 00:00:00,2193205,,8-Foreign,1,0.00
2419170,2020-07-05 00:00:00,2020-07-07 00:00:00,27455,North Carolina,7-USA Balance,3,0.00
2417654,2020-01-17 00:00:00,,27951,North Carolina,7-USA Balance,,0.00
2419030,2020-05-17 00:00:00,2020-05-18 00:00:00,32937,Florida,7-USA Balance,,0.00
2419130,2020-06-14 00:00:00,2020-06-14 00:00:00,33428,Florida,7-USA Balance,5,0.00
2417259,2020-04-28 00:00:00,2020-04-28 00:00:00,33708,Florida,7-USA Balance,4,0.00
2419171,2020-07-05 00:00:00,2020-07-07 00:00:00,34688,Florida,7-USA Balance,1,0.00
2419108,2020-06-05 00:00:00,2020-06-09 00:00:00,37909,Tennessee,7-USA Balance,5,0.00
2418980,2020-05-10 00:00:00,2020-05-11 00:00:00,42101,Kentucky,7-USA Balance,4,0.00
2398278,2020-05-04 00:00:00,2020-05-05 00:00:00,44121,Ohio,7-USA Balance,4,0.00
2419179,2020-07-08 00:00:00,2020-07-08 00:00:00,45202,Ohio,7-USA Balance,5,0.00
2419073,2020-05-25 00:00:00,2020-05-26 00:00:00,45237,Ohio,7-USA Balance,5,0.00
2418986,2020-05-10 00:00:00,2020-05-11 00:00:00,46617,Indiana,7-USA Balance,1,0.00
2419311,2020-08-30 00:00:00,2020-08-31 00:00:00,53212,Wisconsin,7-USA Balance,,0.00
2419188,2020-07-13 00:00:00,2020-07-14 00:00:00,55407,Minnesota,7-USA Balance,1,0.00
2419310,2020-08-29 00:00:00,2020-08-31 00:00:00,60602,Illinois,7-USA Balance,,0.00
2419066,2020-05-23 00:00:00,2020-05-26 00:00:00,63139,Missouri,7-USA Balance,1,0.00
2419245,2020-07-27 00:00:00,2020-07-27 00:00:00,80206,Colorado,7-USA Balance,3,0.00
2419312,2020-08-30 00:00:00,2020-08-31 00:00:00,80218,Colorado,7-USA Balance,,0.00
2417446,2020-01-04 00:00:00,,81224,Colorado,7-USA Balance,,0.00
2419012,2020-05-14 00:00:00,2020-05-15 00:00:00,81635,Colorado,7-USA Balance,3,0.00
2419104,2020-06-02 00:00:00,2020-06-05 00:00:00,87110,New Mexico,7-USA Balance,4,0.00
2419142,2020-06-17 00:00:00,2020-06-18 00:00:00,87501,New Mexico,7-USA Balance,1,0.00
2419167,2020-07-02 00:00:00,2020-07-02 00:00:00,89141,Nevada,7-USA Balance,4,0.00
2419152,2020-06-23 00:00:00,2020-06-25 00:00:00,90272,California,7-USA Balance,6,0.00
2419271,2020-08-24 00:00:00,2020-08-14 00:00:00,90277,California,7-USA Balance,5,0.00
2418982,2020-05-10 00:00:00,2020-05-11 00:00:00,94112,California,7-USA Balance,4,0.00
2418983,2020-05-10 00:00:00,2020-05-11 00:00:00,94117,California,7-USA Balance,6,0.00
2419031,2020-05-17 00:00:00,2020-05-18 00:00:00,94610,California,7-USA Balance,5,0.00
2418998,2020-05-12 00:00:00,2020-05-13 00:00:00,94611,California,7-USA Balance,5,0.00
2419006,2020-05-13 00:00:00,2020-05-14 00:00:00,94708,California,7-USA Balance,4,0.00
2419113,2020-06-08 00:00:00,2020-06-09 00:00:00,95501,California,7-USA Balance,3,0.00
2418988,2020-05-10 00:00:00,2020-05-11 00:00:00,956046210,California,7-USA Balance,1,0.00
2419313,2020-08-31 00:00:00,,95617,California,7-USA Balance,,0.00
2418710,2020-03-11 00:00:00,,998011158,Alaska,7-USA Balance,,0.00
2418954,2020-05-06 00:00:00,2020-05-06 00:00:00,L7P 5C2,Ontario,8-Foreign,1,0.00
2418578,2020-03-03 00:00:00,,V6K4V7,British Columbia,8-Foreign,,0.00
